sim_time,scan_min,amcl_x,amcl_y,cov_x,cov_y,gt_x,gt_y,gt_yaw,error_dist
1783921839.818,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921840.843,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921841.898,0.585,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921842.928,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921843.948,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921844.988,0.582,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921846.017,0.573,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921847.047,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921848.090,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921849.121,0.584,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921850.154,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921851.192,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921852.207,0.598,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921853.230,0.607,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921854.260,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921855.283,0.600,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921856.314,0.604,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921857.355,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921858.396,0.603,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921859.420,0.602,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921860.456,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921861.484,0.605,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921862.514,0.588,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921863.538,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921864.555,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921865.591,0.586,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921866.623,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921867.647,0.609,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921868.674,0.583,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921869.718,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921870.745,0.611,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921871.769,0.581,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921872.785,0.574,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921873.799,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921874.829,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921875.860,0.596,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921876.880,0.608,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921877.909,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921878.937,0.599,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921879.957,0.606,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921880.985,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921882.018,0.602,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921883.045,0.603,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921884.060,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921885.087,0.613,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921886.109,0.590,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921887.136,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921888.161,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921889.180,0.587,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921890.213,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921891.237,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921892.262,0.575,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921893.288,0.579,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921894.328,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921895.372,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921896.394,0.592,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921897.415,0.611,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921898.437,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921899.465,0.606,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921900.492,0.609,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921901.529,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921902.552,0.598,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921903.578,0.607,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
